rank,score,ai_relevance_score,tags,title,company,location,remote,url,source,posted_date,fit_reason,why_matched,description_preview
1,83.3,0.125,,"Product Manager, AI/ML Solutions - Optum",Built In,Unknown,False,https://builtin.com/job/product-manager-ai-ml-solutions/9401860,builtin,2026-08-04,matches your healthcare IVR + voice agent work,Tier 1 pure PM/APM role | RAG systems | Voice AI experience,"The Role  The Product Manager for AI/ML Solutions will manage product lifecycle, work in Agile teams, and improve business processes using AI/ML technologies.  Summary Generated by Built In [...] This"
2,45.6,0.25,,AI/Machine Learning Engineer Intern @ Handshake,Simplify Jobs,Unknown,False,https://simplify.jobs/p/d757e1b4-5d20-44bb-82ee-8a4226efefc9/AIMachine-Learning-Engineer-Intern,simplify,2026-08-07,matches your PRD authoring and sprint alignment background,Tier 3 AI/ML engineering role | Entry-level/new-grad role fit | Intern-level role (perfect fit),"### The Role  As a AI/Machine Learning Engineering Intern, you will contribute to building intelligent product experiences that help students discover and secure opportunities. Your work will span sea"
3,44.0,0.125,,Forward Deployed Engineer - AI Engineer - ReflectionAI,Built In,Unknown,False,https://builtin.com/job/forward-deployed-engineer/8019466,builtin,2026-08-06,matches your PRD authoring and sprint alignment background,Tier 3 AI/ML engineering role | Agentic workflows | AI-native startup,Role Overview  We’re looking for a core member of Reflection’s Applied AI team to drive our Forward Deployed Engineering efforts with enterprise customers. This team works hands-on to translate advanc
